State,Year,Candidate,Constituency,Party,Criminal_Case,Education,Total_Assets,Liabilities
Bihar,2020,Alok Ranjan,SAHARSA,BJP,1,Doctorate,41576582.0,"Rs 65,71,458"
Bihar,2020,Altaf Alam,MARHAURA,JD(U),1,12th Pass,3435438.0,"Rs 2,42,316"
Bihar,2020,Aman Anand,TARAIYA,IND,0,10th Pass,6857000.0,Rs 0
Bihar,2020,Aman Kumar,PIRPAINTI (SC),IND,3,Graduate,10759876.0,"Rs 76,253"
Bihar,2020,Aman Kumar,CHERIA - BARIARPUR,Rashtriya Jan Jan Party,0,12th Pass,5760000.0,Rs 0
Bihar,2020,Aman Kumar Jha,JALE,Jan Adhikar Party (Loktantrik),3,Graduate,8955000.0,"Rs 40,00,674"
Bihar,2020,Aman Kumar Samajsevi,NIRMALI,IND,2,Literate,17781500.0,Rs 0
Bihar,2020,Amar Azad,BOCHAHAN (SC),LJP,2,Graduate,55560.0,Rs 0
Bihar,2020,Amar Jyoti,AGIAON (SC),IND,0,Others,2608000.0,Rs 0
Bihar,2020,Amar Kumar Jha,MORWA,Janata Party,0,Post Graduate,7305340.0,"Rs 18,94,650"
Bihar,2020,Amar Nath,BENIPATTI,IND,0,Post Graduate,5725792.0,"Rs 1,21,000"
Bihar,2020,Amar Nath Gami,DARBHANGA,RJD,0,12th Pass,27141837.0,"Rs 33,36,068"
Bihar,2020,Amar Nath Prasad,BABUBARHI,LJP,0,Graduate,40888030.0,"Rs 2,15,72,619"
Bihar,2020,Amar Nath Prasad Alias Amar Singh Kushwaha,NATHNAGAR,LJP,2,12th Pass,40276579.0,"Rs 9,21,555"
Bihar,2020,Amar Nath Ray,DANAPUR,The Plurals Party,0,Graduate Professional,807325.0,Rs 0
Bihar,2020,Amar Paswan,PHULWARI (SC),IND,0,10th Pass,25084.0,Rs 0
Bihar,2020,Amar Paswan,RAJA PAKAR (SC),IND,1,10th Pass,4938200.0,Rs 0
Bihar,2020,Amar Paswan,KOCHADHAMAN,IND,0,12th Pass,161000.0,Rs 0
Bihar,2020,Amardeep Kumar,MADHEPURA,IND,2,Graduate,416000.0,Rs 0
